User Type,Username,Date,Text
,zyzykwy,2012-04-11T00:10Z,this is only the first half of the movie.  Where is the rest of it?
                 : Menu
Bestandsgrootte                  : 24,0 KiB

Video
ID                               : 224 (0xE0)
Formaat                          : MPEG Video
Formaatversie                    : Version 2
Bitrate-modus                    : Variabel
Breedte                          : 720 pixels
Hoogte                           : 576 pixels
Beeldverhouding                  : 16:9
Framerate                        : 25,000 fps
Standaard                        : PAL

Tekst
Formaat                          : RLE
Formaat/Info                     : Run-length encoding
BitDepth/String                  : 2 bits
"
